ID	InUse	Distance		Remaining Battery	 # Charges	Charging	Revenue
37	false	142189.4799999999		0.21035515091863485	5	true	$623.58966
48	false	147622.93000000002		0.22602861787162976	5	true	$661.43225
8	false	137664.80000000002		0.7831636989978524	5	false	$626.39294
85	false	141527.13999999996		0.7372390862363792	5	false	$637.3897
84	false	138513.76		0.49536196114690234	5	false	$622.93066
13	false	138453.86999999994		0.6045474429332695	5	false	$620.8221
15	false	146584.57999999993		0.596405305515788	5	false	$639.55176
1	false	149054.43000000002		0.351754690109759	5	false	$662.0261
2	false	141995.88999999996		0.5629189905949259	5	false	$635.239
51	false	144661.58000000007		0.32909763232720873	5	false	$648.0678
24	false	135822.97		0.7472568325976299	5	false	$607.0561
81	false	143924.6900000001		0.7994566730295075	5	false	$642.7332
53	false	150097.55000000002		0.34396642358625606	5	false	$664.916
23	false	140592.44000000003		0.6229636423287996	5	false	$634.6963
57	false	143813.95999999996		0.4920544022906227	5	false	$649.53253
60	false	148248.97		0.5885278722261988	5	false	$647.5666
47	false	142157.47999999972		0.5639877490455737	5	false	$631.5312
31	false	152967.69999999987		0.19016586882605607	5	true	$696.11536
52	false	138942.38999999998		0.5654050967350669	5	false	$628.70703
28	false	126557.54999999997		0.3816457513123356	4	false	$575.27057
25	false	138683.07		0.7591632366976854	5	false	$625.23737
30	false	151878.50000000006		0.3262365286725521	5	false	$678.1418
12	false	144028.10000000012		0.4456923442098147	5	false	$651.9204
61	false	143104.94999999992		0.5397987005885624	5	false	$637.2478
75	false	155622.09000000003		0.09738738268511868	5	false	$691.92365
14	false	154729.39999999997		0.8290587966276942	6	false	$677.307
19	false	134064.33000000002		0.8239383873180622	5	false	$617.87
83	false	131978.3		0.7581006919589598	5	false	$610.09094
36	false	136945.7500000001		0.7472503082001113	5	false	$613.0898
87	false	147764.77		0.5494930232442533	5	false	$653.68976
41	false	144030.22000000003		0.7460314886065377	5	false	$633.92413
80	false	131324.24999999997		0.10675362135130839	4	true	$580.90643
45	false	150764.01999999993		0.3323073252207109	5	false	$659.123
91	false	140211.93000000005		0.47398554939155335	5	false	$645.0069
43	false	142803.05999999988		0.6159256815199237	5	false	$631.701
99	false	139994.71999999997		0.43076390131631265	5	false	$624.6137
74	false	130751.20999999996		0.3954721923964047	4	false	$603.8681
35	false	142205.6600000001		0.5567059000437444	5	false	$646.6188
62	false	146421.84999999995		0.46389820945677257	5	false	$638.2568
0	false	146732.49		0.47147676320289467	5	false	$645.8194
82	false	132978.1200000001		0.05956327547124808	4	true	$614.90216
39	false	131218.22		0.09922073838781503	4	true	$594.71423
98	false	146149.41999999978		0.4171161044500118	5	false	$662.763
73	false	136342.67999999996		0.7580839149367692	5	false	$629.99744
66	false	133581.24999999997		0.7212819633341282	5	false	$613.99506
89	false	146733.56000000003		0.5083762700827168	5	false	$646.82166
94	false	134033.42999999996		0.7917805640062037	5	false	$603.81415
26	false	145538.87000000014		0.3567759907142287	5	false	$644.657
92	false	128236.39999999992		0.14548337707786516	4	true	$573.3122
3	false	128198.74999999988		0.1383167924321963	4	true	$595.2438
21	false	147760.76000000004		0.1532110599101249	5	true	$649.6824
54	false	148226.08000000007		0.2427217549510855	5	true	$666.5253
71	false	148954.7000000001		0.3035620724966198	5	false	$660.8453
42	false	141468.54999999996		0.5027047045255706	5	false	$633.28326
70	false	133147.5299999999		0.6223779999801159	5	false	$607.2091
77	false	146500.91999999998		0.2984478768989103	5	false	$646.4004
59	false	141942.71000000014		0.43933229937166923	5	false	$627.14233
88	false	136554.18000000008		0.7334434403085978	5	false	$604.38086
40	false	143928.37000000002		0.23453953909170394	5	false	$634.7398
18	false	155132.88000000006		0.23382309810705484	5	true	$680.0377
58	false	147529.31		0.298062626759723	5	false	$643.263
20	false	142497.74000000002		0.5562880279169647	5	false	$633.14795
72	false	150253.15999999997		0.2862736618150002	5	false	$660.1976
33	false	136876.90999999992		0.8129087379702535	5	false	$612.9652
